ID,Severity,Distance(mi),City,State,Zipcode
A-6034242,2,1.146,Bakersfield,CA,93308
A-1076658,2,0,Newcastle,CA,95658-9302
A-141698,2,0,Orlando,FL,32837
A-2179100,3,0,Hitchcock,TX,77563
A-3530023,2,0.8540000000000001,Oakland,CA,94619
A-7205253,2,0,Birmingham,AL,35204
A-6556815,2,0.265,Cerritos,CA,90703
A-7063328,3,0.097,Platteville,CO,80651
A-4105190,2,0.624,Colton,CA,92324
A-7591651,2,0.278,Saint Louis,MO,63139
A-3867940,2,2.466,Ontario,CA,91762-6521
A-4345913,2,0.738,Portland,OR,97213
A-1816017,2,0,Bakersfield,CA,93304
A-5766492,2,2.964,Dexter,MI,48130
A-7173858,2,0,Raleigh,NC,27601-1407
A-1967100,3,0,Woodlyn,PA,19094
A-7022648,2,0,Oklahoma City,OK,73108-7620
A-3709443,2,0.088,Tujunga,CA,91042
A-278193,2,0.18,San Antonio,TX,78223-4017
A-3416272,2,2.47,Crockett,CA,94525
A-767270,3,0,Ontario,CA,91762
A-5104785,2,1.706,Heth,AR,72346
A-4872645,2,0.104,Edwards,CA,93523
A-5112764,2,0.6809999999999999,Stockton,CA,95206
A-1318655,2,0,Summerville,SC,29485
A-6350559,2,0.352,Charlotte,NC,28216
A-6098520,2,0.477,Summerton,SC,29148-8265
A-6181620,2,3.599,Ocala,FL,34482
A-3896941,2,0.051,Sumter,SC,29150-7409
A-440606,3,0.01,Glendale,CA,91201
A-532880,1,0,Lexington,SC,29073-8288
A-5166463,2,0.266,Blue Bell,PA,19422-1246
A-2957396,3,0,Dallas,TX,75220
A-366535,2,0.01,Barrington,IL,60010
A-6116610,2,0.1639999999999999,Miami,FL,33143
A-797481,2,0,Campobello,SC,29322-8807
A-570066,1,0,Nashville,TN,37210-3474
A-2346622,2,0,City Of Industry,CA,91745-1719
A-3213519,2,0,Garner,NC,27529
A-2587591,3,0,Fremont,CA,94539
A-4082048,2,0.08,Pinellas Park,FL,33782
A-6169947,2,0.322,Orlando,FL,32819
A-442329,2,0.02,Melbourne,FL,32940
A-649994,2,0,Irmo,SC,29063-9677
A-3572351,4,1.84,Lewiston,NY,14092-9757
A-5838469,2,0.083,Lorton,VA,22079-3239
A-2361807,3,0,Chesapeake,VA,23320
A-1440483,2,0,Norristown,PA,19401-1513
A-629033,1,0,New Cumberland,PA,17070-2039
A-1833181,3,0,West des Moines,IA,50265
A-6106141,2,1.474,Fort Lauderdale,FL,33331
A-5307032,2,0.054,Tampa,FL,33634
A-2128711,2,0,Charlotte,NC,28208-6907
A-3770121,2,0.029,East Rochester,NY,14445-1310
A-3670704,2,2.643,Riceboro,GA,31323
A-969460,3,0,Los Angeles,CA,90040
A-5503863,2,0.12,Raleigh,NC,27610-1448
A-7734717,2,0.287,Salt Lake City,UT,84115
